"ordinal","question_id","route_style","eligible","s0_protected_rows","post_selection_em_delta_rows","sealed_s1_rows","compression_prompt_token_proxy","compression_status","validated_fact_count","answer_prompt_token_proxy","baseline_fallback","baseline_fallback_reason","prediction_kind","changed_from_baseline","baseline_semantic_correct","candidate_semantic_correct","semantic_rescued","semantic_regressed","verdict_source","baseline_exact_match","candidate_exact_match","baseline_f1","candidate_f1","baseline_prediction_sha256","prediction_sha256","compression_completion_sha256","compression_receipt_sha256","answer_prompt_receipt_sha256","answer_response_journal_sha256","judge_verdict_sha256"
"13","f685340e_abs","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0","0","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660",,,,,
"14","d23cf73b","numeric_reduce","True","35","15","50","3225","empty","0",,"True","empty_compression","sealed_baseline_fallback","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce","4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce","dd2c2794587e06d62d8ca1d6ee585494e9518d6f213a32e7d20369973ad97b7f","fcbc67bea7908ea9609f4bfa065ae12625ba70919e0caa83e3e8fb2e6787ea7b",,,
"15","15745da0","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","deaeb16f3303a461a20481789eb7c0ccf2ff7bfc7243e85ac82fe48cf600613a","deaeb16f3303a461a20481789eb7c0ccf2ff7bfc7243e85ac82fe48cf600613a",,,,,
"16","2133c1b5","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0.5","0.5","65b7bf005f74226a4f8756d0a9ac896f03327db1c58f1973c06437921ab9ce07","65b7bf005f74226a4f8756d0a9ac896f03327db1c58f1973c06437921ab9ce07",,,,,
"17","gpt4_65aabe59","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660",,,,,
"18","cc06de0d","numeric_reduce","True","38","19","57","2785","valid","2","3629","False",,"routed_terra_candidate","True","True","True","False","False","new_sol_judge","True","True","1","1","65c325fb80a0e7f790657fae7d8b7a07bb83e660b22ecbf70efbae4bb03f4fa3","e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683","80cef2aca820b3809702709892f3e33eae8b71757eabb066f3b6c433562e3230","ef10dabfa51105ef162610de7f3cc3dfa3b567e203997a703fa3b2842beeef3c","c053feda57e9e924fa0257539e98a62f1062d8f449aee92ded76c7a2d306ac0b","f711da1201cde4dea51b66e3ed0c38acaa8770948931747a0d45ea7e4deabbb8","ed63a9051e3578a262224c037378eebde119c44cb5c51e37137648a555d2566f"
"19","3ba21379","state_chain","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","19577c82b8fa62c32a0e24b38446c160110ec264e692f6ed61f2ce1f2688262e","19577c82b8fa62c32a0e24b38446c160110ec264e692f6ed61f2ce1f2688262e",,,,,
"20","099778bb","numeric_reduce","True","40","17","57","2986","valid","1","3577","False",,"routed_terra_candidate","True","True","True","False","False","new_sol_judge","True","True","1","1","dc934fe30a942bca07b4c288b4b3e48aa79a717d6db2b586553cd2416dc8b9b8","f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b","70c0aee4c0897710920cf5a243f70c82a89d868f2208a00ee5fe4dfe9a75594e","8fd95f3761bb39998dd5312e8a5e8eedab09cf9c56e8d7e138c24356b9c9ed38","9f84f7774cad8f83b3b7af91d7425c35db59b94289fef13277be2f7be1060c4b","012d835bc5cb760785aadfd2a6b77fc43e46ff6c72f461e085dc2fa03e6992ab","842918ca5f65f4b2eee54ad40f708b340c61ef1ac5bdefdb002dd91b052d3452"
"21","gpt4_2f56ae70","state_chain","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","02dc2a9874362dcb51001027acbe4c55960b3ef271556c99445f7f9830bd1bb9","02dc2a9874362dcb51001027acbe4c55960b3ef271556c99445f7f9830bd1bb9",,,,,
"22","gpt4_7a0daae1","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62",,,,,
"23","2bf43736","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.6666666666666666","0.6666666666666666","ffd73d2603b7737b3a531e6fd8549210d18a5fbdfce9ac121b469d3ebfba5c81","ffd73d2603b7737b3a531e6fd8549210d18a5fbdfce9ac121b469d3ebfba5c81",,,,,
"24","9bbe84a2","state_chain","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","57774c5ef1c298bd67bf7c1d6e7446306390d781d0f2276b2d68d58c814ce2ad","57774c5ef1c298bd67bf7c1d6e7446306390d781d0f2276b2d68d58c814ce2ad",,,,,
"25","993da5e2","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.2666666666666667","0.2666666666666667","c606fc523bea2631bac34b7e8b42f5ef1d791d303ca7f8aef289225bf7f4903b","c606fc523bea2631bac34b7e8b42f5ef1d791d303ca7f8aef289225bf7f4903b",,,,,
"26","352ab8bd","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660",,,,,
"27","6b7dfb22","synthesize","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0.136986301369863","0.136986301369863","050406c2235d081a941cc45221b8319abfed2f9ed793b38989b064ee618a0a98","050406c2235d081a941cc45221b8319abfed2f9ed793b38989b064ee618a0a98",,,,,
"28","a9f6b44c","numeric_reduce","True","21","16","37","3127","empty","0",,"True","empty_compression","sealed_baseline_fallback","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b","6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b","dd2c2794587e06d62d8ca1d6ee585494e9518d6f213a32e7d20369973ad97b7f","eebb953f8c6b77f28ffe6634c1ae320a58d5476fcb735115768af2225c145387",,,
"29","gpt4_7ddcf75f","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660",,,,,
"30","4dfccbf7","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.33333333333333337","0.33333333333333337","c58c62118b21ccebbff184efe36f74563c43635b58bdea1c9e79aa6061fed25b","c58c62118b21ccebbff184efe36f74563c43635b58bdea1c9e79aa6061fed25b",,,,,
"31","bc149d6b","numeric_reduce","True","40","17","57","2968","invalid","0",,"True","invalid_compression","sealed_baseline_fallback","False","False","False","False","False","sealed_baseline_judge","False","False","0.5","0.5","cb5203c0d0354e93a3afaa8eb2f45d1d2e5b7330654273d64d3fb6b80bf25f4f","cb5203c0d0354e93a3afaa8eb2f45d1d2e5b7330654273d64d3fb6b80bf25f4f","d33a6c822e9f4dd306aab3798c802c45d8f28d275b7b89975aecde50d2b08f8e",,,,
"32","61f8c8f8","numeric_reduce","True","41","17","58","3061","valid","1","3714","False",,"routed_terra_candidate","True","True","True","False","False","new_sol_judge","False","True","0.8","1","b782846de42071bc4500d66691fc7c5c974c06d62530e54752a8e440f66c9814","b075b6e113fcf02aecc4e137449091a91a03426c303dbac028511136abe83797","467cb3b78a3619c7145b2e08696c32acbca0dff04599a1a4a5edd647d334e3cf","08e63a53cf6ab88224a00f2dbd272ffc67b38f56d4aa4eab48035602044e3a41","c8cf555207c9ac68d4c948bb9f619d78201f31265aac1695ed9d0c40d8c0e7f1","0f6749a974767c6357b3d0dcf68254a765ca7990b46ea847daef882a5705dfb6","b6181c514afac34b17a5322739cb4f13f024a669934cc193a173fb56e69bc0e4"
"33","4adc0475","numeric_reduce","True","18","15","33","3446","valid","2","3253","False",,"routed_terra_candidate","True","False","False","False","False","new_sol_judge","False","False","0","0","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","82662947a6db7c3cacdf993340d4b4662634422f831c0c89cdf97ae4e7610444","103dec58a1afe27bd98432a6fc91bbffec60e351a5070e027247864ae08c1dfd","65f974184702a88f5e8fe90d871ab75c23e5362d25ed44fde62da9dfe79af5f9","a6551ab0cc644645435b44e0bb6432cf77d36d160b8e311ef480fa7398f62e57","658d43682f0c7ac4fd332f2eed1cb51c0f85cc8a181d4de18c4af7a460c6fc67"
"34","d682f1a2","numeric_reduce","True","34","17","51","2720","valid","3","3602","False",,"routed_terra_candidate","True","False","True","True","False","new_sol_judge","False","True","0","1","4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a","4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce","2e045342278d386891266a393451292b01531d93ab4bfa8347cd3c96e5518ca1","11c95daca6104836a722e9de49a1520d3565268494a4e4fc9ea47a518fe1bd92","19060fbe3c0b399a8acae1a5526dcf335490b3b568c93be96805775d859bda8b","56278cb9b9a8ef7f56229dc915d2a989f14935fd79f2fe18795c4579099dc2da","905d41de0ad700f7025e0cadc3cf8b48b77f94094b555360793b4b5f336cb021"
"35","157a136e","numeric_reduce","True","16","9","25","1479","valid","2","3229","False",,"routed_terra_candidate","True","False","True","True","False","new_sol_judge","False","True","0","1","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a","dee4ff6d7a07a31dfcabd5d4e72c35c71a37d82ee0300b1b8080f855acfda02f","ab3dbfbcb7e981813e5bffb186470773bf1d7a42f236a24b522f099c3fc3a3e9","1cd7b0cfc663af95ffa2091965d3b94a5dbd0010aee5cf653701b0a4506f732d","47ad7b0657ca60e3f171f8abf91dac3b70cda0592150087eaae7771cf0a340c2","35411639afebd39b29932182f69bb8c1435511f100a116e0cd8aafb1868b8330"
"36","32260d93","synthesize","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","60acc53f13a5d1bf115878c4a785e9a43e8286c4139a8402a6ac7d23966f9153","60acc53f13a5d1bf115878c4a785e9a43e8286c4139a8402a6ac7d23966f9153",,,,,
"37","bc8a6e93","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660",,,,,
"38","7161e7e2","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.5","0.5","d78843e59f61ae74b55cd6a23f36b2a0240802d1e9fffbde49eb032f1f889fba","d78843e59f61ae74b55cd6a23f36b2a0240802d1e9fffbde49eb032f1f889fba",,,,,
"39","ce6d2d27","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","e21f3f372a46d4be7b49f6809fc91baefeadae004af06485518e124a142c0271","e21f3f372a46d4be7b49f6809fc91baefeadae004af06485518e124a142c0271",,,,,
"40","9d25d4e0","numeric_reduce","True","42","16","58","3089","valid","4","3843","False",,"routed_terra_candidate","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9","5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9","f86afd203b78573773f6754627036de7824c3aa2e6f056a3196dde44ab506e58","10520645eaa642d5bb156e8431a7e02f1fa65ab53d12b15aa690c1d4c15e0734","73aee0878df97e079eb3e6ae26d4a92bc30f4ab1e4ccee6d1c271e95636fa038","c119083d77443dce601950c22eefd4dd6cff3a767dea089bb579be371f1540cf",
"41","94f70d80","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","e5bc99278849514de080c915a43a38d724a9bbd52a73657b5413cbd4d6291f83","e5bc99278849514de080c915a43a38d724a9bbd52a73657b5413cbd4d6291f83",,,,,
"42","a96c20ee_abs","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","513241526dd222ff2182e0ea05dfc5f95f88cfe6f344f4dadc0931e31f5f9a93","513241526dd222ff2182e0ea05dfc5f95f88cfe6f344f4dadc0931e31f5f9a93",,,,,
"43","gpt4_1e4a8aec","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62",,,,,
"44","89941a93","numeric_reduce","True","39","19","58","2529","valid","1","3649","False",,"routed_terra_candidate","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a","4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a","0af6e876aeacd47bae4513a4fcd9ccd701d7cd9fa8166bd6ee5b5a58439d22a6","4fe9e84f2d4ea45bc2f14e64d02bc26a27fe1ee04c02bec5a902821ce6f0da04","001ea4b02fe32c1b58b33854d7abae1a534639bd0e9c8565ff9432bcd784ee89","ddcfcffa80cd1100751337a4bf8fbf8a41d1e7011ebb0c17528ddf4e938326c2",
"45","70b3e69b","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","066cd838281e4e76ef35224a305db71a4adc0b7c6ce852aa2d00c49f4f98edf5","066cd838281e4e76ef35224a305db71a4adc0b7c6ce852aa2d00c49f4f98edf5",,,,,
"46","18bc8abd","state_chain","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.7499999999999999","0.7499999999999999","c11fae250f771694961236ebf36838d34331e3e3f071731d45e37337c362caed","c11fae250f771694961236ebf36838d34331e3e3f071731d45e37337c362caed",,,,,
"47","b6019101","numeric_reduce","True","15","9","24","1219","empty","0",,"True","empty_compression","sealed_baseline_fallback","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d","ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d","dd2c2794587e06d62d8ca1d6ee585494e9518d6f213a32e7d20369973ad97b7f","b0a3ec6bf1310a71724c09ab97d1717334340d219ed9a15cc2b1850f9a143caa",,,
"48","gpt4_0a05b494","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","cd4dbddc99b48133053089a7e66dfd59ce14d020b916e3345af841b51f458a88","cd4dbddc99b48133053089a7e66dfd59ce14d020b916e3345af841b51f458a88",,,,,
"49","a89d7624","synthesize","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.02666666666666667","0.02666666666666667","7e4d7acb680732db8eebf3f46a18cc66acf34777d830b9c7d1c4f5fb43b4ec2f","7e4d7acb680732db8eebf3f46a18cc66acf34777d830b9c7d1c4f5fb43b4ec2f",,,,,
"50","gpt4_5501fe77","numeric_reduce","True","41","16","57","3076","valid","2","3728","False",,"routed_terra_candidate","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","bcd18ead5fa830127187d499e97e7a4dc8f641ec34d8c7e9f9f24deae2e39fdc","bcd18ead5fa830127187d499e97e7a4dc8f641ec34d8c7e9f9f24deae2e39fdc","308c3a36da754a5b58a81da610eb51f26b1df5ab5a20ff5da03b4bbbe84f8ecf","02bbb5d03748aecf150265936fdf7275bed107c1d737eeecc6bb06c5a588961f","a88a6d2eaa0b4f7691bcf7029209dbbba6982077f0adee3fdc2eeb68270d1f83","10ef49bab889d9e1d9f933e9e6bc58bba9c169c6a9a4cd000c3344d58f749746",
"51","41698283","state_chain","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","10e1a69cde056bf10ec3d95e52ceb208e3aee6a445958bfaf20e100f8716ac4a","10e1a69cde056bf10ec3d95e52ceb208e3aee6a445958bfaf20e100f8716ac4a",,,,,
"52","3d86fd0a","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","98ca2dab0dbdc65e4c66282c9bd28e1b5d52346fb697bb51586fd70c80c40fa4","98ca2dab0dbdc65e4c66282c9bd28e1b5d52346fb697bb51586fd70c80c40fa4",,,,,
"53","3a704032","numeric_reduce","True","20","15","35","3053","empty","0",,"True","empty_compression","sealed_baseline_fallback","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","dd2c2794587e06d62d8ca1d6ee585494e9518d6f213a32e7d20369973ad97b7f","668625e00d8b421e42e924b52181f9896807aad6a8ead0a23e0072bf6a072142",,,
"54","gpt4_8279ba03","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62",,,,,
"55","d52b4f67","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","71f9846a1d30901915515a70cbb31bf0399606c97e9322c8dd4f867e65f34313","71f9846a1d30901915515a70cbb31bf0399606c97e9322c8dd4f867e65f34313",,,,,
"56","gpt4_1e4a8aeb","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.33333333333333337","0.33333333333333337","919faefe006e8836def13b3f6f7fe5522d80296f2f8b3fbb0e77d0b401f17a09","919faefe006e8836def13b3f6f7fe5522d80296f2f8b3fbb0e77d0b401f17a09",,,,,
"57","6071bd76","state_chain","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.16666666666666669","0.16666666666666669","0f21dc4e355852ffeb0aed448f2c56171da9918a880763edb96bbc3a462acdb4","0f21dc4e355852ffeb0aed448f2c56171da9918a880763edb96bbc3a462acdb4",,,,,
"58","b9cfe692","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.5","0.5","02dd5b9e55797a18f711140a7eb9d648889239a9c0e94982fb1b019004357bd8","02dd5b9e55797a18f711140a7eb9d648889239a9c0e94982fb1b019004357bd8",,,,,
"59","b29f3365","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.5","0.5","302aceaf374d912449dbf8fec85a46dddd8a197cb1b0933e9af196dedf2e68c9","302aceaf374d912449dbf8fec85a46dddd8a197cb1b0933e9af196dedf2e68c9",,,,,
"60","3b6f954b","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.7499999999999999","0.7499999999999999","3cb92a5285fbbc469dc2dfcbe6f17525975f61d425263efb3de99afdb37efbc2","3cb92a5285fbbc469dc2dfcbe6f17525975f61d425263efb3de99afdb37efbc2",,,,,
"61","gpt4_15e38248","numeric_reduce","True","26","18","44","3087","valid","1","3345","False",,"routed_terra_candidate","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b","6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b","8dc8e30b95a36b7f361ce8eff06106dfed8127957e78b30a645f8f057a8bd6b1","0f01f607690d8ebed0177f0d7e49b2bfd1c8cf4d65cc1b35672032ad57e16d98","c490bc4dc5f941e1db43c2702e6f0cee362ec25d016deccc26291189cb5701e5","12d1325b16a1a42583ecf7b7e341d49da43f9dc383dc23936c729091665d04fe",
