ordinal,question_id,benchmark_category,retrieval_topology,source_arity,source_locality,expected_source_count,source_span_sessions,intervening_source_count,expected_source_ids,expected_source_positions,answer_operator,negative_reference,semantic_correct,abstained,incorrect_abstention,s1_failure_boundary,first_any_source_stage,first_all_sources_stage,first_literal_answer_stage,first_all_value_components_stage,S0_evidence_count,S0_added_evidence_count,S0_retrieved_expected_source_count,S0_evidence_source_recall,S0_any_evidence_source,S0_all_evidence_sources,S0_literal_answer_present,S0_answer_value_component_recall,S0_admission_status,S1_evidence_count,S1_added_evidence_count,S1_retrieved_expected_source_count,S1_evidence_source_recall,S1_any_evidence_source,S1_all_evidence_sources,S1_literal_answer_present,S1_answer_value_component_recall,S1_admission_status,S2_evidence_count,S2_added_evidence_count,S2_retrieved_expected_source_count,S2_evidence_source_recall,S2_any_evidence_source,S2_all_evidence_sources,S2_literal_answer_present,S2_answer_value_component_recall,S2_admission_status,S3_evidence_count,S3_added_evidence_count,S3_retrieved_expected_source_count,S3_evidence_source_recall,S3_any_evidence_source,S3_all_evidence_sources,S3_literal_answer_present,S3_answer_value_component_recall,S3_admission_status,question_date,question,reference_answer,prediction
10,4c36ccef,single-session-assistant,point,point,point,1,1,0,"[""answer_ultrachat_448704""]",[46],direct_lookup,False,True,False,False,semantic_correct,S0,S0,S0,unreached,44,44,1,1.0,True,True,True,,root,61,17,1,1.0,True,True,True,,added,61,0,1,1.0,True,True,True,,budget_exhausted,61,0,1,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 23:29,Can you remind me of the name of the romantic Italian restaurant in Rome you recommended for dinner?,Roscioli,Roscioli
11,2698e78f_abs,knowledge-update,dispersed_join,pair,dispersed,2,25,23,"[""answer_9282283d_abs_1"",""answer_9282283d_abs_2""]","[2,26]",insufficient_evidence,True,True,True,False,semantic_correct,S0,S0,unreached,unreached,50,50,2,1.0,True,True,False,,root,68,18,2,1.0,True,True,False,,added,68,0,2,1.0,True,True,False,,budget_exhausted,68,0,2,1.0,True,True,False,,budget_exhausted,2023/06/16 (Fri) 16:18,How often do I see Dr. Johnson?,The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,I don't know
12,0ddfec37,knowledge-update,dispersed_join,pair,dispersed,2,15,13,"[""answer_a22b654d_1"",""answer_a22b654d_2""]","[18,32]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,28,28,2,1.0,True,True,True,,root,44,16,2,1.0,True,True,True,,added,44,0,2,1.0,True,True,True,,budget_exhausted,44,0,2,1.0,True,True,True,,budget_exhausted,2024/01/08 (Mon) 09:27,How many autographed baseballs have I added to my collection in the first three months of collection?,15,15
13,f685340e_abs,knowledge-update,dispersed_join,pair,dispersed,2,32,30,"[""answer_25df025b_abs_1"",""answer_25df025b_abs_2""]","[1,32]",insufficient_evidence,True,True,True,False,semantic_correct,S0,S0,unreached,unreached,47,47,2,1.0,True,True,False,,root,64,17,2,1.0,True,True,False,,added,64,0,2,1.0,True,True,False,,budget_exhausted,64,0,2,1.0,True,True,False,,budget_exhausted,2023/06/19 (Mon) 04:29,How often do I play table tennis with my friends at the local park?,The information provided is not enough. You mentioned playing tennis but not table tennis.,I don't know.
14,d23cf73b,multi-session,dispersed_join,fanout,dispersed,4,27,23,"[""answer_5a0d28f8_4"",""answer_5a0d28f8_2"",""answer_5a0d28f8_3"",""answer_5a0d28f8_1""]","[20,32,42,46]",numeric_aggregate_compare,False,False,False,False,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,35,35,4,1.0,True,True,True,,root,50,15,4,1.0,True,True,True,,added,50,0,4,1.0,True,True,True,,budget_exhausted,50,0,4,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 16:04,How many different cuisines have I learned to cook or tried out in the past few months?,4,3
15,15745da0,single-session-user,point,point,point,1,1,0,"[""answer_586de428""]",[6],direct_lookup,False,True,False,False,semantic_correct,S0,S0,S0,unreached,45,45,1,1.0,True,True,True,,root,66,21,1,1.0,True,True,True,,added,66,0,1,1.0,True,True,True,,budget_exhausted,66,0,1,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 21:43,How long have I been collecting vintage cameras?,three months,Three months
16,2133c1b5,knowledge-update,dispersed_join,pair,dispersed,2,26,24,"[""answer_52382508_1"",""answer_52382508_2""]","[23,48]",state_update,False,False,False,False,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,46,46,2,1.0,True,True,True,,root,65,19,2,1.0,True,True,True,,added,65,0,2,1.0,True,True,True,,budget_exhausted,65,0,2,1.0,True,True,True,,budget_exhausted,2023/10/15 (Sun) 08:39,How long have I been living in my current apartment in Harajuku?,3 months,7 months
17,gpt4_65aabe59,temporal-reasoning,dispersed_join,pair,dispersed,2,34,32,"[""answer_30dfe889_1"",""answer_30dfe889_2""]","[0,33]",temporal_order_select,False,False,True,True,partial_labeled_sources_in_s1,S0,unreached,unreached,unreached,32,32,1,0.5,True,False,False,,root,48,16,1,0.5,True,False,False,,added,48,0,1,0.5,True,False,False,,budget_exhausted,48,0,1,0.5,True,False,False,,budget_exhausted,2023/05/25 (Thu) 11:29,"Which device did I set up first, the smart thermostat or the mesh network system?",Smart thermostat,I don't know.
18,cc06de0d,multi-session,dispersed_join,pair,dispersed,2,14,12,"[""answer_4fb01417_2"",""answer_4fb01417_1""]","[19,32]",numeric_aggregate_compare,False,True,False,False,semantic_correct,S0,S0,S0,unreached,38,38,2,1.0,True,True,True,,root,57,19,2,1.0,True,True,True,,added,57,0,2,1.0,True,True,True,,budget_exhausted,57,0,2,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 23:25,"For my daily commute, how much more expensive was the taxi ride compared to the train fare?",$6,$6
19,3ba21379,knowledge-update,dispersed_join,pair,dispersed,2,3,1,"[""answer_cd345582_1"",""answer_cd345582_2""]","[7,9]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,46,46,2,1.0,True,True,True,,root,65,19,2,1.0,True,True,True,,added,65,0,2,1.0,True,True,True,,budget_exhausted,65,0,2,1.0,True,True,True,,budget_exhausted,2023/06/01 (Thu) 05:09,What type of vehicle model am I currently working on?,Ford F-150 pickup truck,Ford F-150 pickup truck
20,099778bb,multi-session,dispersed_join,pair,dispersed,2,37,35,"[""answer_80d6d664_2"",""answer_80d6d664_1""]","[6,42]",numeric_aggregate_compare,False,True,False,False,semantic_correct,S0,S0,S0,unreached,40,40,2,1.0,True,True,True,,root,57,17,2,1.0,True,True,True,,added,57,0,2,1.0,True,True,True,,budget_exhausted,57,0,2,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 22:26,What percentage of leadership positions do women hold in the my company?,20%,20%
21,gpt4_2f56ae70,temporal-reasoning,dispersed_join,fanout,dispersed,3,42,39,"[""answer_7a36e820_2"",""answer_7a36e820_3"",""answer_7a36e820_1""]","[42,1,10]",temporal_order_select,False,True,False,False,semantic_correct,S0,unreached,S0,unreached,45,45,2,0.6666666666666666,True,False,True,,root,65,20,2,0.6666666666666666,True,False,True,,added,65,0,2,0.6666666666666666,True,False,True,,budget_exhausted,65,0,2,0.6666666666666666,True,False,True,,budget_exhausted,2023/05/26 (Fri) 00:18,Which streaming service did I start using most recently?,Disney+,Disney+
22,gpt4_7a0daae1,temporal-reasoning,dispersed_join,pair,dispersed,2,27,25,"[""answer_4d5490f1_1"",""answer_4d5490f1_2""]","[9,35]",temporal_interval,False,False,True,True,all_sources_without_literal_answer_in_s1,S0,S0,unreached,unreached,16,16,2,1.0,True,True,False,,root,34,18,2,1.0,True,True,False,,added,34,0,2,1.0,True,True,False,,budget_exhausted,34,0,2,1.0,True,True,False,,budget_exhausted,2023/04/15 (Sat) 22:38,How many weeks passed between the day I bought my new tennis racket and the day I received it?,1 week,I don't know
23,2bf43736,single-session-assistant,point,point,point,1,1,0,"[""answer_sharegpt_2kpncbX_13""]",[40],direct_lookup,False,True,False,False,semantic_correct,S0,S0,unreached,unreached,29,29,1,1.0,True,True,False,,root,50,21,1,1.0,True,True,False,,added,50,0,1,1.0,True,True,False,,budget_exhausted,50,0,1,1.0,True,True,False,,budget_exhausted,2023/05/30 (Tue) 21:49,I was going through our previous chat and I wanted to clarify something about the prayer of beginners in Tanqueray's Spiritual Life treatise. Can you remind me which chapter of the second part discusses vocal prayer and meditation?,"Chapter 4 of Book 1, titled 'Vocal Prayer and Meditation'.",Chapter 4 of Book 1
24,9bbe84a2,knowledge-update,dispersed_join,pair,dispersed,2,10,8,"[""answer_c6a0c6c2_1"",""answer_c6a0c6c2_2""]","[5,14]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,45,45,2,1.0,True,True,True,,root,62,17,2,1.0,True,True,True,,added,62,0,2,1.0,True,True,True,,budget_exhausted,62,0,2,1.0,True,True,True,,budget_exhausted,2023/10/08 (Sun) 15:29,What was my previous goal for my Apex Legends level before I updated my goal?,level 100,Level 100
25,993da5e2,temporal-reasoning,dispersed_join,pair,dispersed,2,31,29,"[""answer_54f0d6f9_1"",""answer_54f0d6f9_2""]","[9,39]",temporal_interval,False,True,False,False,semantic_correct,S0,S0,unreached,unreached,36,36,2,1.0,True,True,False,,root,55,19,2,1.0,True,True,False,,added,55,0,2,1.0,True,True,False,,budget_exhausted,55,0,2,1.0,True,True,False,,budget_exhausted,2023/05/26 (Fri) 17:49,How long had I been using the new area rug when I rearranged my living room furniture?,One week. Answers ranging from 7 days to 10 days are also acceptable.,One week
26,352ab8bd,single-session-assistant,point,point,point,1,1,0,"[""answer_sharegpt_NoDZzot_7""]",[10],direct_lookup,False,False,True,True,all_sources_without_literal_answer_in_s1,S0,S0,unreached,unreached,38,38,1,1.0,True,True,False,,root,53,15,1,1.0,True,True,False,,added,53,0,1,1.0,True,True,False,,budget_exhausted,53,0,1,1.0,True,True,False,,budget_exhausted,2023/05/30 (Tue) 23:31,Can you remind me what was the average improvement in framerate when using the Hardware-Aware Modular Training (HAMT) agent in the 'To Adapt or Not to Adapt? Real-Time Adaptation for Semantic Segmentation' submission?,The average improvement in framerate was approximately 20% when using the Hardware-Aware Modular Training (HAMT) agent.,I don't know.
27,6b7dfb22,single-session-preference,point,point,point,1,1,0,"[""answer_f6502d0f""]",[9],preference_synthesis,False,False,False,False,all_sources_without_literal_answer_in_s1,S0,S0,unreached,unreached,42,42,1,1.0,True,True,False,,root,61,19,1,1.0,True,True,False,,added,61,0,1,1.0,True,True,False,,budget_exhausted,61,0,1,1.0,True,True,False,,budget_exhausted,2023/05/30 (Tue) 13:57,I've been feeling a bit stuck with my paintings lately. Do you have any ideas on how I can find new inspiration?,"The user would prefer responses that build upon their existing sources of inspiration, such as revisiting Instagram art accounts or exploring new techniques from online tutorials. They might also appreciate suggestions that revisit previous themes they found enjoyable, like painting flowers. The user would not prefer generic or vague suggestions for finding inspiration, and would likely appreciate responses that utilize their recent 30-day painting challenge experience.","Explore social media, art communities, and a 30-day painting challenge."
28,a9f6b44c,multi-session,dispersed_join,fanout,dispersed,3,23,20,"[""answer_cc021f81_2"",""answer_cc021f81_3"",""answer_cc021f81_1""]","[13,17,35]",numeric_aggregate_compare,False,False,False,False,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,21,21,3,1.0,True,True,True,,root,37,16,3,1.0,True,True,True,,added,37,0,3,1.0,True,True,True,,budget_exhausted,37,0,3,1.0,True,True,True,,budget_exhausted,2023/03/20 (Mon) 23:57,How many bikes did I service or plan to service in March?,2,1
29,gpt4_7ddcf75f,temporal-reasoning,point,point,point,1,1,0,"[""answer_ad8a76cb_1""]",[35],temporal_interval,False,False,True,True,all_sources_without_literal_answer_in_s1,S0,S0,unreached,unreached,16,16,1,1.0,True,True,False,,root,32,16,1,1.0,True,True,False,,added,32,0,1,1.0,True,True,False,,budget_exhausted,32,0,1,1.0,True,True,False,,budget_exhausted,2023/06/20 (Tue) 16:30,How many days ago did I go on a whitewater rafting trip in the Oregon mountains?,3 days ago. 4 days (including the last day) is also acceptable.,I don't know.
30,4dfccbf7,temporal-reasoning,dispersed_join,pair,dispersed,2,8,6,"[""answer_4bebc782_1"",""answer_4bebc782_2""]","[34,41]",temporal_interval,False,True,False,False,semantic_correct,S0,S0,unreached,unreached,36,36,2,1.0,True,True,False,,root,53,17,2,1.0,True,True,False,,added,53,0,2,1.0,True,True,False,,budget_exhausted,53,0,2,1.0,True,True,False,,budget_exhausted,2023/04/01 (Sat) 00:42,How many days had passed since I started taking ukulele lessons when I decided to take my acoustic guitar to the guitar tech for servicing?,24 days. 25 days (including the last day) is also acceptable.,24 days
31,bc149d6b,multi-session,local_pair,pair,local,2,2,0,"[""answer_92147866_1"",""answer_92147866_2""]","[9,10]",numeric_aggregate_compare,False,False,False,False,partial_labeled_sources_in_s1,S0,unreached,unreached,unreached,40,40,1,0.5,True,False,False,,root,57,17,1,0.5,True,False,False,,added,57,0,1,0.5,True,False,False,,budget_exhausted,57,0,1,0.5,True,False,False,,budget_exhausted,2023/05/30 (Tue) 22:02,What is the total weight of the new feed I purchased in the past two months?,70 pounds,50 pounds
32,61f8c8f8,multi-session,dispersed_join,pair,dispersed,2,9,7,"[""answer_872e8da2_2"",""answer_872e8da2_1""]","[23,31]",numeric_aggregate_compare,False,True,False,False,semantic_correct,S0,S0,S1,unreached,41,41,2,1.0,True,True,False,,root,58,17,2,1.0,True,True,True,,added,58,0,2,1.0,True,True,True,,budget_exhausted,58,0,2,1.0,True,True,True,,budget_exhausted,2023/10/01 (Sun) 23:53,How much faster did I finish the 5K run compared to my previous year's time?,10 minutes,10 minutes faster
33,4adc0475,multi-session,dispersed_join,pair,dispersed,2,11,9,"[""answer_6efce493_1"",""answer_6efce493_2""]","[27,37]",numeric_aggregate_compare,False,False,True,True,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,18,18,2,1.0,True,True,True,,root,33,15,2,1.0,True,True,True,,added,33,0,2,1.0,True,True,True,,budget_exhausted,33,0,2,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 18:44,What is the total number of goals and assists I have in the recreational indoor soccer league?,5,I don't know
34,d682f1a2,multi-session,dispersed_join,fanout,dispersed,3,34,31,"[""answer_c008e5df_1"",""answer_c008e5df_2"",""answer_c008e5df_3""]","[8,27,41]",numeric_aggregate_compare,False,False,False,False,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,34,34,3,1.0,True,True,True,,root,51,17,3,1.0,True,True,True,,added,51,0,3,1.0,True,True,True,,budget_exhausted,51,0,3,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 23:30,How many different types of food delivery services have I used recently?,3,4
35,157a136e,multi-session,dispersed_join,pair,dispersed,2,8,6,"[""answer_8de18468_2"",""answer_8de18468_1""]","[37,44]",numeric_aggregate_compare,False,False,True,True,partial_labeled_sources_in_s1,S0,unreached,unreached,unreached,16,16,1,0.5,True,False,False,,root,25,9,1,0.5,True,False,False,,added,29,4,1,0.5,True,False,False,,added,29,0,1,0.5,True,False,False,,budget_exhausted,2024/02/05 (Mon) 23:49,How many years older is my grandma than me?,43,I don't know
36,32260d93,single-session-preference,point,point,point,1,1,0,"[""answer_0250ae1c""]",[37],preference_synthesis,False,False,False,False,no_labeled_source_in_s1,unreached,unreached,unreached,unreached,45,45,0,0.0,False,False,False,,root,61,16,0,0.0,False,False,False,,added,61,0,0,0.0,False,False,False,,budget_exhausted,61,0,0,0.0,False,False,False,,budget_exhausted,2023/05/30 (Tue) 23:43,Can you recommend a show or movie for me to watch tonight?,"The user would prefer recommendations for stand-up comedy specials on Netflix, especially those that are known for their storytelling. They may not prefer recommendations for other genres or platforms.",Dark
37,bc8a6e93,single-session-user,point,point,point,1,1,0,"[""answer_e6143162""]",[29],direct_lookup,False,False,True,True,no_labeled_source_in_s1,unreached,unreached,unreached,unreached,42,42,0,0.0,False,False,False,,root,60,18,0,0.0,False,False,False,,added,60,0,0,0.0,False,False,False,,budget_exhausted,60,0,0,0.0,False,False,False,,budget_exhausted,2023/05/30 (Tue) 13:46,What did I bake for my niece's birthday party?,a lemon blueberry cake,I don't know.
38,7161e7e2,single-session-assistant,point,point,point,1,1,0,"[""answer_sharegpt_5Lzox6N_0""]",[11],direct_lookup,False,True,False,False,semantic_correct,S0,S0,unreached,unreached,41,41,1,1.0,True,True,False,,root,63,22,1,1.0,True,True,False,,added,63,0,1,1.0,True,True,False,,budget_exhausted,63,0,1,1.0,True,True,False,,budget_exhausted,2023/05/30 (Tue) 20:16,I'm checking our previous chat about the shift rotation sheet for GM social media agents. Can you remind me what was the rotation for Admon on a Sunday?,Admon was assigned to the 8 am - 4 pm (Day Shift) on Sundays.,8 am - 4 pm
39,ce6d2d27,knowledge-update,dispersed_join,pair,dispersed,2,20,18,"[""answer_73540165_1"",""answer_73540165_2""]","[1,20]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,41,41,2,1.0,True,True,True,,root,56,15,2,1.0,True,True,True,,added,56,0,2,1.0,True,True,True,,budget_exhausted,56,0,2,1.0,True,True,True,,budget_exhausted,2023/07/15 (Sat) 22:19,What day of the week do I take a cocktail-making class?,Friday,Friday
40,9d25d4e0,multi-session,dispersed_join,fanout,dispersed,3,28,25,"[""answer_fcff2dc4_2"",""answer_fcff2dc4_1"",""answer_fcff2dc4_3""]","[6,30,33]",numeric_aggregate_compare,False,False,False,False,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,42,42,3,1.0,True,True,True,,root,58,16,3,1.0,True,True,True,,added,58,0,3,1.0,True,True,True,,budget_exhausted,58,0,3,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 15:43,How many pieces of jewelry did I acquire in the last two months?,3,0
41,94f70d80,single-session-user,point,point,point,1,1,0,"[""answer_c63c0458""]",[46],direct_lookup,False,True,False,False,semantic_correct,S0,S0,S0,unreached,42,42,1,1.0,True,True,True,,root,61,19,1,1.0,True,True,True,,added,61,0,1,1.0,True,True,True,,budget_exhausted,61,0,1,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 23:11,How long did it take me to assemble the IKEA bookshelf?,4 hours,4 hours
42,a96c20ee_abs,multi-session,dispersed_join,pair,dispersed,2,34,32,"[""answer_ef84b994_abs_1"",""answer_ef84b994_abs_2""]","[18,51]",insufficient_evidence,True,False,False,False,all_sources_without_literal_answer_in_s1,S0,S0,unreached,unreached,46,46,2,1.0,True,True,False,,root,63,17,2,1.0,True,True,False,,added,63,0,2,1.0,True,True,False,,budget_exhausted,63,0,2,1.0,True,True,False,,budget_exhausted,2023/05/30 (Tue) 12:03,At which university did I present a poster for my undergrad course research project?,The information provided is not enough. You did not mention presenting a poster for your undergrad course research project.,Harvard University
43,gpt4_1e4a8aec,temporal-reasoning,dispersed_join,pair,dispersed,2,13,11,"[""answer_16bd5ea6_1"",""answer_16bd5ea6_2""]","[29,41]",temporal_order_select,False,False,True,True,no_labeled_source_in_s1,unreached,unreached,unreached,unreached,46,46,0,0.0,False,False,False,,root,65,19,0,0.0,False,False,False,,added,65,0,0,0.0,False,False,False,,budget_exhausted,65,0,0,0.0,False,False,False,,budget_exhausted,2023/05/05 (Fri) 16:42,What gardening-related activity did I do two weeks ago?,planting 12 new tomato saplings,I don't know
44,89941a93,knowledge-update,dispersed_join,pair,dispersed,2,24,22,"[""answer_e1403127_1"",""answer_e1403127_2""]","[6,29]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,39,39,2,1.0,True,True,True,,root,58,19,2,1.0,True,True,True,,added,58,0,2,1.0,True,True,True,,budget_exhausted,58,0,2,1.0,True,True,True,,budget_exhausted,2023/10/27 (Fri) 13:00,How many bikes do I currently own?,4,4
45,70b3e69b,single-session-assistant,point,point,point,1,1,0,"[""answer_ultrachat_334948""]",[4],direct_lookup,False,True,False,False,semantic_correct,S0,S0,S0,unreached,38,38,1,1.0,True,True,True,,root,58,20,1,1.0,True,True,True,,added,58,0,1,1.0,True,True,True,,budget_exhausted,58,0,1,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 19:58,I was going through our previous conversation about the impact of the political climate in Catalonia on its literature and music. Can you remind me of the example you gave of a Spanish-Catalan singer-songwriter who supports unity between Catalonia and Spain?,Manolo García,Manolo García
46,18bc8abd,knowledge-update,dispersed_join,pair,dispersed,2,27,25,"[""answer_fff743f5_1"",""answer_fff743f5_2""]","[16,42]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,43,43,2,1.0,True,True,True,,root,60,17,2,1.0,True,True,True,,added,60,0,2,1.0,True,True,True,,budget_exhausted,60,0,2,1.0,True,True,True,,budget_exhausted,2023/07/15 (Sat) 07:37,What brand of BBQ sauce am I currently obsessed with?,Kansas City Masterpiece,Kansas City Masterpiece BBQ sauce
47,b6019101,knowledge-update,dispersed_join,pair,dispersed,2,6,4,"[""answer_67074b4b_1"",""answer_67074b4b_2""]","[40,45]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,15,15,2,1.0,True,True,True,,root,24,9,2,1.0,True,True,True,,added,28,4,2,1.0,True,True,True,,added,28,0,2,1.0,True,True,True,,budget_exhausted,2023/06/17 (Sat) 16:20,How many MCU films did I watch in the last 3 months?,5,5
