family,file,line,cls,why,destination,check,condition,span,deferred
cumulative,_recall_guarded_cumulative_contracts.py,612,Test,arithmetic comparison,move to pytest over the pure transformation,cumulative prompt workspace accounting changed,self.prompt_workspace_token_proxy != self.prompt_token_proxy + self.responder_output_token_reserve,4,
cumulative,_recall_guarded_cumulative_contracts.py,614,Test,equality of two derived values,move to pytest over the pure transformation,cumulative retrieval must retain zero request-token state,self.retained_request_token_state_bytes != 0,2,
cumulative,_recall_guarded_cumulative_ops.py,76,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),retrieval must be a RetrievalConfig,"not isinstance(retrieval, RetrievalConfig)",2,
cumulative,_recall_guarded_cumulative_ops.py,78,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),the cumulative predecessor requires causal_graph with coverage_selection,retrieval.mode != 'causal_graph' or not retrieval.coverage_selection,4,
cumulative,_recall_guarded_cumulative_ops.py,92,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),require_certified_coverage_runtime must be boolean,type(required) is not bool,2,
cumulative,_recall_guarded_cumulative_ops.py,97,Delete/receipt,message: receipt/certification bookkeeping,delete (receipt/certification bookkeeping),local_ini coverage has no checkpoint receipt and cannot certify the frozen production runtime,backend == 'local_ini',5,
cumulative,_recall_guarded_cumulative_ops.py,133,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),coverage runtime certification requires exact model identity,not expected or any((not str(value).strip() for value in expected.values())),2,
cumulative,_recall_guarded_cumulative_ops.py,136,Test,equality of two derived values,move to pytest over the pure transformation,coverage runtime report changed  {},"str(report.get(name, '')) != str(value)",2,
cumulative,_recall_guarded_cumulative_ops.py,140,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),coverage runtime report is missing the choice-provider identity,"not isinstance(choice_report, Mapping)",4,
cumulative,_recall_guarded_cumulative_ops.py,151,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),coverage runtime certification requires exact choice-model identity,any((not str(value).strip() for value in expected_choice.values())),4,
cumulative,_recall_guarded_cumulative_ops.py,156,Test,equality of two derived values,move to pytest over the pure transformation,coverage runtime choice report changed  {},"str(choice_report.get(name, '')) != str(value)",2,
cumulative,_recall_guarded_cumulative_ops.py,186,Test,equality of two derived values,move to pytest over the pure transformation,condenser ContextBudget does not match the frozen causal-graph arm,actual_budget != expected_budget,4,
cumulative,_recall_guarded_cumulative_ops.py,197,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),causal graph retrieval returned a non-RetrievalResult row,"any((not isinstance(item, RetrievalResult) for item in graph_results))",2,
cumulative,_recall_guarded_cumulative_ops.py,216,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),causal_graph predecessor unexpectedly emitted memory items,packed.memory_header or packed.memory_ids,2,
cumulative,_recall_guarded_cumulative_ops.py,220,Test,len() arity comparison,move to pytest over the pure transformation,packed predecessor coordinates are not one-to-one,len(packed_ids) != len(packed_texts) or len(set(packed_ids)) != len(packed_ids),2,
cumulative,_recall_guarded_cumulative_ops.py,232,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),coverage_selection was configured but no selector report was produced,not coverage_report,4,
cumulative,_recall_guarded_cumulative_ops.py,237,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),coverage selector retained request transformer state,type(retained) is not int or retained != 0,2,
cumulative,_recall_guarded_cumulative_ops.py,269,Operational,message: operational,keep in place (OS / TOCTOU / precondition),packed predecessor chunk could not be rehydrated,item is None,2,
cumulative,_recall_guarded_cumulative_ops.py,351,Test,ordering/cap comparison,move to pytest over the pure transformation,protected predecessor exceeds the cumulative context cap,protected_tokens > max_context_tokens,2,
cumulative,_recall_guarded_cumulative_ops.py,476,Delete/identity,compares stored digest fields,delete (interior identity cross-check),closure plan changed its cumulative method expansion,plan.expansion_receipt_sha256 != expansion_identity_sha256,2,
cumulative,_recall_guarded_cumulative_ops.py,534,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),require_owned_representative_runtime must be boolean,type(require_owned_representative_runtime) is not bool,2,
cumulative,_recall_guarded_cumulative_ops.py,538,Test,equality of two derived values,move to pytest over the pure transformation,artifact_id is absent from the active discourse snapshot,artifact not in snapshot.artifact_ids,2,
cumulative,_recall_guarded_cumulative_ops.py,546,Test,message: ownership,move to pytest over the pure transformation,episode policy belongs to another artifact,active_episode_policy.artifact_id != artifact,2,
cumulative,_recall_guarded_cumulative_ops.py,549,Test,message: ownership,move to pytest over the pure transformation,representative policy belongs to another artifact,active_representative_policy.artifact_id != artifact,2,
cumulative,_recall_guarded_cumulative_ops.py,596,Test,ordering/cap comparison,move to pytest over the pure transformation,protected predecessor exceeds the cumulative context cap,count_tokens(predecessor.protected_context) > context_cap,2,
cumulative,_recall_guarded_cumulative_ops.py,614,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),direct episode expansion returned an invalid plan,"not isinstance(expansion, EpisodeRetrievalPlan)",2,
cumulative,_recall_guarded_cumulative_ops.py,616,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),protected direct episode expansion was truncated,expansion.truncated_episode_ids or expansion.truncated_direct_chunk_ids,2,
cumulative,_recall_guarded_cumulative_ops.py,630,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),representative episode retrieval returned an invalid plan,"not isinstance(representative_expansion, EpisodeRepresentativeRetrievalPlan)",5,
cumulative,_recall_guarded_cumulative_ops.py,632,Test,message: ownership,move to pytest over the pure transformation,representative expansion belongs to another artifact,representative_expansion.artifact_id != artifact,2,
cumulative,_recall_guarded_cumulative_ops.py,636,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),representative expansion belongs to another query,representative_expansion.query_sha256 != identity_sha256({'query': normalized_query}),4,
cumulative,_recall_guarded_cumulative_ops.py,640,Delete/identity,compares stored digest fields,delete (interior identity cross-check),representative expansion changed its policy,representative_expansion.policy_sha256 != active_representative_policy.policy_sha256,4,
cumulative,_recall_guarded_cumulative_ops.py,645,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),representative linker runtime is not certified,require_owned_representative_runtime and (not representative_expansion.runtime_binding_certified),5,
cumulative,_recall_guarded_cumulative_ops.py,647,Test,equality of two derived values,move to pytest over the pure transformation,representative expansion retained transformer state,representative_expansion.returned_plan_transformer_state_bytes != 0,2,
cumulative,_recall_guarded_cumulative_ops.py,728,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative closure read a different discourse snapshot,any((item.snapshot.snapshot_sha256 != snapshot.snapshot_sha256 for item in plans)),2,
cumulative,_recall_guarded_cumulative_ops.py,783,Behavioral,set operation (re-admission),KEEP in-path (recall guard: monotonic nesting),cumulative stage attempted to duplicate evidence,set(added_evidence_ids) & set(current_evidence_ids),2,
cumulative,_recall_guarded_cumulative_ops.py,802,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),addition packet does not bind its stage prompt,identity_sha256(list(next_messages)) != packet.receipt.prompt_messages_sha256,4,
cumulative,_recall_guarded_cumulative_ops.py,855,Test,ordering/cap comparison,move to pytest over the pure transformation,cumulative packer exceeded a hard budget,context_tokens > context_cap or prompt_tokens > prompt_cap,2,
cumulative,_recall_guarded_cumulative_ops.py,932,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),retrieval must be a RecallGuardedCumulativeRetrieval,type(retrieval) is not RecallGuardedCumulativeRetrieval,2,
cumulative,_recall_guarded_cumulative_ops.py,1008,Test,equality of two derived values,move to pytest over the pure transformation,addition evidence span hydration changed,hydrate_span(atom.span) != atom.text,2,
cumulative,_recall_guarded_cumulative_result.py,216,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),QA_USER_TEMPLATE must contain exactly one context slot,QA_USER_TEMPLATE.count('{context}') != 1,2,
cumulative,_recall_guarded_cumulative_result.py,261,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative result changed matched controls,self.receipt.matched_controls_sha256 != self.predecessor.receipt.matched_controls_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,265,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative result changed its predecessor,self.receipt.predecessor_receipt_sha256 != self.predecessor.receipt.receipt_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,269,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative result changed direct episode expansion,self.receipt.direct_expansion_receipt_sha256 != self.episode_expansion.receipt_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,273,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative result changed representative expansion,self.receipt.representative_expansion_receipt_sha256 != self.representative_expansion.receipt_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,277,Delete/identity,cross-check between two stored payloads,delete (interior identity cross-check),cumulative result changed representative runtime binding,self.receipt.representative_runtime_certified != self.representative_expansion.runtime_binding_certified,4,
cumulative,_recall_guarded_cumulative_result.py,282,Test,len() arity comparison,move to pytest over the pure transformation,cumulative result requires three additive methods,len(plans) != 3 or len(projections) != 3 or len(packets) != 3,2,
cumulative,_recall_guarded_cumulative_result.py,286,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),cumulative result changed a closure plan,tuple((item.plan_sha256 for item in plans)) != self.receipt.closure_plan_sha256s,4,
cumulative,_recall_guarded_cumulative_result.py,290,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),cumulative result changed a novel projection,tuple((item.receipt.receipt_sha256 for item in projections)) != self.receipt.novel_projection_receipt_sha256s,4,
cumulative,_recall_guarded_cumulative_result.py,295,Delete/identity,compares stored digest fields,delete (interior identity cross-check),novel projection belongs to another closure plan,"any((projection.receipt.source_plan_sha256 != plan.plan_sha256 for plan, projection in zip(plans, projections, strict=True)))",5,
cumulative,_recall_guarded_cumulative_result.py,301,Test,equality of two derived values,move to pytest over the pure transformation,cumulative result changed an addition packet,packet_hashes != self.receipt.addition_packet_receipt_sha256s,2,
cumulative,_recall_guarded_cumulative_result.py,309,Test,ordering/cap comparison,move to pytest over the pure transformation,addition packet changed the cumulative context cap,packet_receipt.max_context_token_proxy > self.receipt.max_context_token_proxy,4,
cumulative,_recall_guarded_cumulative_result.py,314,Test,arithmetic comparison,move to pytest over the pure transformation,addition packet changed the cumulative prompt cap,packet_receipt.max_prompt_token_proxy != self.receipt.max_prompt_token_proxy + self.receipt.responder_output_token_reserve,5,
cumulative,_recall_guarded_cumulative_result.py,318,Test,equality of two derived values,move to pytest over the pure transformation,addition packet changed the responder reserve,packet_receipt.responder_output_token_reserve != self.receipt.responder_output_token_reserve,4,
cumulative,_recall_guarded_cumulative_result.py,320,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative result changed its retrieval ladder,self.ladder.receipt_sha256 != self.receipt.ladder_receipt_sha256,2,
cumulative,_recall_guarded_cumulative_result.py,324,Test,len() arity comparison,move to pytest over the pure transformation,cumulative result changed the four-stage ladder,len(self.ladder.stages) != 4 or tuple((item.stage_id for item in self.ladder.stages)) != _CUMULATIVE_STAGE_IDS,4,
cumulative,_recall_guarded_cumulative_result.py,327,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative ladder changed matched controls,root_stage.matched_controls_sha256 != self.receipt.matched_controls_sha256,2,
cumulative,_recall_guarded_cumulative_result.py,337,Delete/receipt,message: receipt/certification bookkeeping,delete (receipt/certification bookkeeping),cumulative receipt changed the ladder hard budgets,"(root_stage.max_context_token_proxy, root_stage.max_prompt_token_proxy, root_stage.responder_output_token_reserve) != (self.receipt.max_context_token_proxy, sel",10,
cumulative,_recall_guarded_cumulative_result.py,341,Delete/identity,cross-check between two stored payloads,delete (interior identity cross-check),cumulative receipt changed the predecessor prompt cap,self.predecessor.receipt.max_prompt_token_proxy != self.receipt.max_prompt_token_proxy,4,
cumulative,_recall_guarded_cumulative_result.py,345,Delete/identity,cross-check between two stored payloads,delete (interior identity cross-check),cumulative receipt changed the responder reserve,self.predecessor.receipt.responder_output_token_reserve != self.receipt.responder_output_token_reserve,4,
cumulative,_recall_guarded_cumulative_result.py,349,Behavioral,slice comparison (ordered-prefix nesting),KEEP in-path (recall guard: monotonic nesting),cumulative receipt changed stage admission decisions,tuple((item.admission_status for item in self.ladder.stages[1:])) != self.receipt.stage_admission_statuses,4,
cumulative,_recall_guarded_cumulative_result.py,354,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),cumulative result changed the prompt question,identity_sha256({'prompt_question': prompt}) != self.predecessor.receipt.prompt_question_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,362,Delete/identity,cross-check between two stored payloads,delete (interior identity cross-check),cumulative receipt changed protected chunk IDs,self.receipt.protected_chunk_ids != self.predecessor.receipt.protected_chunk_ids,4,
cumulative,_recall_guarded_cumulative_result.py,366,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative receipt changed protected excerpts,self.receipt.protected_excerpt_projection_sha256 != self.predecessor.receipt.protected_excerpt_projection_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,368,Test,equality of two derived values,move to pytest over the pure transformation,cumulative result changed protected coordinates,protected_ids != self.receipt.protected_evidence_ids,2,
cumulative,_recall_guarded_cumulative_result.py,395,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative result changed a projection proof,expected_projection.receipt.receipt_sha256 != projection.receipt.receipt_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,397,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative result changed a projected plan,expected_projection.plan.plan_sha256 != projection.plan.plan_sha256,2,
cumulative,_recall_guarded_cumulative_result.py,401,Behavioral,presence of a parent link (structural),KEEP in-path (recall guard: monotonic nesting),addition packet belongs to another projected plan,packet is not None and packet.receipt.plan_sha256 != projection.plan.plan_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,405,Behavioral,set operation (re-admission),KEEP in-path (recall guard: monotonic nesting),cumulative result admitted duplicate evidence,set(added_coordinates) & set(current_coordinates),2,
cumulative,_recall_guarded_cumulative_result.py,424,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),addition packet changed its cumulative prompt,identity_sha256(list(next_messages)) != packet.receipt.prompt_messages_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,452,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),cumulative receipt changed stage admission decisions,tuple(expected_admission_statuses) != self.receipt.stage_admission_statuses,4,
cumulative,_recall_guarded_cumulative_result.py,456,Test,equality of two derived values,move to pytest over the pure transformation,root stage changed protected evidence,stages[0].selected_evidence_ids != protected_ids,2,
cumulative,_recall_guarded_cumulative_result.py,460,Delete/identity,compares stored digest fields,delete (interior identity cross-check),root stage does not bind the predecessor,stages[0].method_evidence_sha256 != self.predecessor.receipt.receipt_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,464,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative stage changed its method evidence,stage.method_evidence_sha256 != projection.receipt.receipt_sha256,2,
cumulative,_recall_guarded_cumulative_result.py,466,Test,arithmetic comparison,move to pytest over the pure transformation,cumulative stage changed admitted atom coordinates,stage.added_evidence_ids != expected_added_coordinates[index - 1],2,
cumulative,_recall_guarded_cumulative_result.py,474,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),cumulative stage context projection changed,quote_sha256(stage_context) != stage.context_sha256,2,
cumulative,_recall_guarded_cumulative_result.py,476,Delete/identity,recomputes a digest and compares to a stored one,delete (interior identity cross-check),cumulative stage prompt projection changed,identity_sha256(list(stage_messages)) != stage.prompt_messages_sha256,2,
cumulative,_recall_guarded_cumulative_result.py,478,Test,equality of two derived values,move to pytest over the pure transformation,cumulative stage context accounting changed,count_tokens(stage_context) != stage.context_token_proxy,2,
cumulative,_recall_guarded_cumulative_result.py,480,Test,equality of two derived values,move to pytest over the pure transformation,cumulative stage prompt accounting changed,count_chat_prompt_token_proxy(stage_messages) != stage.prompt_token_proxy,2,
cumulative,_recall_guarded_cumulative_result.py,484,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative stage evidence projection changed,tuple((item.evidence_projection_sha256 for item in stages)) != tuple(expected_stage_projections),4,
cumulative,_recall_guarded_cumulative_result.py,487,Delete/receipt,message: receipt/certification bookkeeping,delete (receipt/certification bookkeeping),cumulative receipt changed admitted atom IDs,atom_ids != self.receipt.added_atom_ids,2,
cumulative,_recall_guarded_cumulative_result.py,492,Delete/receipt,message: receipt/certification bookkeeping,delete (receipt/certification bookkeeping),cumulative receipt changed admitted chunk IDs,added_chunk_ids != self.receipt.added_chunk_ids,2,
cumulative,_recall_guarded_cumulative_result.py,496,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),cumulative receipt changed final chunk IDs,"self.receipt.final_chunk_ids != _ordered_unique((*self.receipt.protected_chunk_ids, *added_chunk_ids))",4,
cumulative,_recall_guarded_cumulative_result.py,498,Delete/receipt,message: receipt/certification bookkeeping,delete (receipt/certification bookkeeping),cumulative receipt changed final evidence coordinates,current_coordinates != self.receipt.final_evidence_ids,2,
cumulative,_recall_guarded_cumulative_result.py,502,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),cumulative receipt changed addition evidence,identity_sha256([item.identity_payload() for item in admitted_atoms]) != self.receipt.addition_evidence_projection_sha256,4,
cumulative,_recall_guarded_cumulative_result.py,508,Behavioral,message: nesting/monotonicity,KEEP in-path (recall guard: monotonic nesting),cumulative result is not assembled from its stage prefix,self.context != expected_final_context,2,
cumulative,_recall_guarded_cumulative_result.py,511,Test,equality of two derived values,move to pytest over the pure transformation,cumulative result messages are not the final stage prompt,tuple(frozen_messages) != tuple(current_messages),2,
